PRESENTDATE,PROCEDUREBEGIN,PROCEDUREEND,date,begin_time,end_time
2018/02/17,2018/02/17 05:59:55.923,2018/02/17 05:59:56.177,2/17/2018,5:59:56 AM,5:59:56 AM
2018/02/18,2018/02/18 07:17:42.920,2018/02/18 07:39:50.867,2/18/2018,7:17:43 AM,7:39:51 AM
2018/02/19,2018/02/19 07:20:33.310,2018/02/19 08:03:36.410,2/19/2018,7:20:33 AM,8:03:36 AM
2018/02/20,2018/02/20 07:51:20.593,2018/02/20 08:36:59.097,2/20/2018,7:51:21 AM,8:36:59 AM
2018/02/21,2018/02/21 07:36:28.373,2018/02/21 08:16:21.877,2/21/2018,7:36:28 AM,8:16:22 AM
2018/02/22,2018/02/22 07:30:22.383,2018/02/22 07:54:53.120,2/22/2018,7:30:22 AM,7:54:53 AM
2018/02/23,2018/02/23 07:34:08.907,2018/02/23 08:08:03.090,2/23/2018,7:34:09 AM,8:08:03 AM
2018/02/24,2018/02/24 07:16:29.043,2018/02/24 07:33:24.757,2/24/2018,7:16:29 AM,7:33:25 AM
2018/02/25,2018/02/25 07:55:55.850,2018/02/25 08:13:44.267,2/25/2018,7:55:56 AM,8:13:44 AM
2018/02/26,2018/02/26 07:20:51.380,2018/02/26 07:56:12.120,2/26/2018,7:20:51 AM,7:56:12 AM
2018/02/27,2018/02/27 07:44:53.623,2018/02/27 08:20:06.273,2/27/2018,7:44:54 AM,8:20:06 AM
2018/02/28,2018/02/28 07:30:29.597,2018/02/28 08:05:54.613,2/28/2018,7:30:30 AM,8:05:55 AM
2018/03/01,2018/03/01 07:36:55.873,2018/03/01 08:14:53.040,3/1/2018,7:36:56 AM,8:14:53 AM
2018/03/04,2018/03/04 07:40:54.473,2018/03/04 07:58:35.780,3/4/2018,7:40:54 AM,7:58:36 AM
2018/03/05,2018/03/05 07:30:12.270,2018/03/05 08:18:22.230,3/5/2018,7:30:12 AM,8:18:22 AM
2018/03/06,2018/03/06 10:50:00.133,2018/03/06 11:43:36.797,3/6/2018,10:50:00 AM,11:43:37 AM
2018/03/07,2018/03/07 07:13:22.373,2018/03/07 08:05:57.047,3/7/2018,7:13:22 AM,8:05:57 AM
2018/03/08,2018/03/08 07:04:44.020,2018/03/08 07:45:09.337,3/8/2018,7:04:44 AM,7:45:09 AM
2018/03/09,2018/03/09 11:01:01.367,2018/03/09 11:28:03.837,3/9/2018,11:01:01 AM,11:28:04 AM
2018/03/10,2018/03/10 10:22:53.897,2018/03/10 10:53:07.457,3/10/2018,10:22:54 AM,10:53:07 AM
2018/03/11,2018/03/11 06:47:55.753,2018/03/11 07:06:02.367,3/11/2018,6:47:56 AM,7:06:02 AM
2018/03/12,2018/03/12 06:24:22.397,2018/03/12 07:11:19.320,3/12/2018,6:24:22 AM,7:11:19 AM
2018/03/13,2018/03/13 06:26:46.333,2018/03/13 07:19:42.220,3/13/2018,6:26:46 AM,7:19:42 AM
2018/03/14,2018/03/14 06:31:01.470,2018/03/14 07:20:40.167,3/14/2018,6:31:01 AM,7:20:40 AM
2018/03/15,2018/03/15 06:23:44.867,.,3/15/2018,6:23:45 AM,
2018/03/16,2018/03/16 06:35:30.823,2018/03/16 06:43:23.740,3/16/2018,6:35:31 AM,6:43:24 AM
2018/03/17,2018/03/17 06:25:18.650,2018/03/17 06:33:29.177,3/17/2018,6:25:19 AM,6:33:29 AM
2018/03/18,2018/03/18 06:04:15.747,2018/03/18 06:11:13.180,3/18/2018,6:04:16 AM,6:11:13 AM
2018/03/19,2018/03/19 06:24:49.710,2018/03/19 06:32:31.113,3/19/2018,6:24:50 AM,6:32:31 AM
,2018/03/19 10:30:44.707,.,,10:30:45 AM,
,2018/03/19 10:37:57.503,2018/03/19 10:44:01.560,,10:37:58 AM,10:44:02 AM
2018/03/20,2018/03/20 06:38:45.700,2018/03/20 07:31:43.417,3/20/2018,6:38:46 AM,7:31:43 AM
2018/03/21,2018/03/21 06:35:53.053,2018/03/21 07:25:39.900,3/21/2018,6:35:53 AM,7:25:40 AM
2018/03/22,2018/03/22 06:48:54.367,2018/03/22 07:31:09.423,3/22/2018,6:48:54 AM,7:31:09 AM
2018/03/23,2018/03/23 06:31:21.690,2018/03/23 06:58:51.483,3/23/2018,6:31:22 AM,6:58:51 AM
2018/03/24,2018/03/24 06:18:12.313,2018/03/24 06:40:23.873,3/24/2018,6:18:12 AM,6:40:24 AM
2018/03/25,2018/03/25 06:20:32.373,2018/03/25 06:40:37.277,3/25/2018,6:20:32 AM,6:40:37 AM
2018/03/26,2018/03/26 06:30:27.360,2018/03/26 07:27:06.007,3/26/2018,6:30:27 AM,7:27:06 AM
2018/03/27,2018/03/27 06:33:30.837,2018/03/27 07:33:56.953,3/27/2018,6:33:31 AM,7:33:57 AM
2018/03/28,2018/03/28 06:18:16.307,2018/03/28 07:11:26.750,3/28/2018,6:18:16 AM,7:11:27 AM
2018/03/29,2018/03/29 06:22:34.100,2018/03/29 07:19:24.950,3/29/2018,6:22:34 AM,7:19:25 AM
2018/03/30,2018/03/30 06:26:40.877,2018/03/30 07:20:29.340,3/30/2018,6:26:41 AM,7:20:29 AM
2018/03/31,2018/03/31 06:40:21.300,2018/03/31 07:32:48.180,3/31/2018,6:40:21 AM,7:32:48 AM
2018/04/01,2018/04/01 06:43:32.327,2018/04/01 07:34:17.407,4/1/2018,6:43:32 AM,7:34:17 AM
2018/04/02,2018/04/02 02:39:31.730,2018/04/02 02:39:32.117,4/2/2018,2:39:32 AM,2:39:32 AM
2018/04/03,2018/04/03 06:38:01.363,2018/04/03 07:32:38.883,4/3/2018,6:38:01 AM,7:32:39 AM
2018/04/04,2018/04/04 06:33:16.030,2018/04/04 07:28:56.147,4/4/2018,6:33:16 AM,7:28:56 AM
2018/04/05,2018/04/05 06:38:39.737,2018/04/05 07:18:16.433,4/5/2018,6:38:40 AM,7:18:16 AM
2018/04/06,2018/04/06 06:32:17.770,2018/04/06 07:13:06.183,4/6/2018,6:32:18 AM,7:13:06 AM
2018/04/07,2018/04/07 06:30:47.333,2018/04/07 07:29:37.610,4/7/2018,6:30:47 AM,7:29:38 AM
2018/04/08,2018/04/08 06:39:54.200,2018/04/08 07:33:13.147,4/8/2018,6:39:54 AM,7:33:13 AM
2018/04/09,2018/04/09 06:33:02.053,2018/04/09 07:31:55.860,4/9/2018,6:33:02 AM,7:31:56 AM
2018/04/10,2018/04/10 06:43:06.970,2018/04/10 07:37:52.680,4/10/2018,6:43:07 AM,7:37:53 AM
2018/04/11,2018/04/11 06:38:32.020,2018/04/11 07:33:34.083,4/11/2018,6:38:32 AM,7:33:34 AM
2018/04/12,2018/04/12 06:38:57.267,2018/04/12 07:27:48.267,4/12/2018,6:38:57 AM,7:27:48 AM
2018/04/13,2018/04/13 06:43:28.127,2018/04/13 07:33:51.067,4/13/2018,6:43:28 AM,7:33:51 AM
2018/04/14,2018/04/14 06:31:55.797,2018/04/14 07:22:23.527,4/14/2018,6:31:56 AM,7:22:24 AM
2018/04/15,2018/04/15 06:37:44.160,.,4/15/2018,6:37:44 AM,
2018/04/16,2018/04/16 02:39:44.057,2018/04/16 02:39:45.797,4/16/2018,2:39:44 AM,2:39:46 AM
,2018/04/16 13:42:34.873,2018/04/16 13:42:34.957,,1:42:35 PM,1:42:35 PM
2018/04/17,2018/04/17 06:32:15.507,2018/04/17 07:16:53.803,4/17/2018,6:32:16 AM,7:16:54 AM
2018/04/18,2018/04/18 06:21:40.307,2018/04/18 06:59:49.053,4/18/2018,6:21:40 AM,6:59:49 AM
2018/04/19,2018/04/19 06:19:33.480,2018/04/19 06:44:29.077,4/19/2018,6:19:33 AM,6:44:29 AM
2018/04/20,2018/04/20 06:15:00.777,2018/04/20 06:40:39.590,4/20/2018,6:15:01 AM,6:40:40 AM
2018/04/21,2018/04/21 06:21:39.720,2018/04/21 06:39:52.667,4/21/2018,6:21:40 AM,6:39:53 AM
2018/04/22,2018/04/22 06:36:53.307,2018/04/22 14:11:42.057,4/22/2018,6:36:53 AM,2:11:42 PM
2018/04/23,2018/04/23 02:39:31.530,2018/04/23 02:39:31.600,4/23/2018,2:39:32 AM,2:39:32 AM
,2018/04/23 15:44:02.277,.,,3:44:02 PM,
2018/04/24,2018/04/24 11:32:30.973,.,4/24/2018,11:32:31 AM,
,2018/04/24 14:22:20.027,.,,2:22:20 PM,
,2018/04/24 15:01:45.483,2018/04/24 16:52:16.977,,3:01:45 PM,4:52:17 PM
,2018/04/24 15:25:25.910,.,,3:25:26 PM,
,2018/04/24 15:27:26.167,.,,3:27:26 PM,
,2018/04/24 18:36:47.200,.,,6:36:47 PM,
2018/04/25,2018/04/25 06:25:20.543,.,4/25/2018,6:25:21 AM,
,2018/04/25 08:40:28.493,.,,8:40:28 AM,
,2018/04/25 12:44:03.160,.,,12:44:03 PM,
,2018/04/25 14:50:03.073,.,,2:50:03 PM,
2018/04/26,2018/04/26 06:13:57.703,2018/04/26 07:06:46.770,4/26/2018,6:13:58 AM,7:06:47 AM
2018/04/27,2018/04/27 06:34:50.367,2018/04/27 07:16:22.150,4/27/2018,6:34:50 AM,7:16:22 AM
2018/04/28,2018/04/28 06:33:00.390,2018/04/28 07:08:11.433,4/28/2018,6:33:00 AM,7:08:11 AM
2018/04/29,2018/04/29 07:23:16.437,2018/04/29 07:56:28.737,4/29/2018,7:23:16 AM,7:56:29 AM
2018/04/30,2018/04/30 02:39:05.770,2018/04/30 02:39:06.777,4/30/2018,2:39:06 AM,2:39:07 AM
,2018/04/30 03:21:43.587,2018/04/30 03:21:43.627,,3:21:44 AM,3:21:44 AM
,2018/04/30 08:14:45.600,2018/04/30 08:14:45.643,,8:14:46 AM,8:14:46 AM
,2018/04/30 09:51:00.433,2018/04/30 10:35:33.187,,9:51:00 AM,10:35:33 AM
2018/05/01,2018/05/01 06:47:28.953,2018/05/01 07:42:31.717,5/1/2018,6:47:29 AM,7:42:32 AM
2018/05/02,2018/05/02 06:37:18.543,2018/05/02 07:25:18.460,5/2/2018,6:37:19 AM,7:25:18 AM
2018/05/03,2018/05/03 06:47:29.307,2018/05/03 07:29:52.587,5/3/2018,6:47:29 AM,7:29:53 AM
2018/05/04,2018/05/04 07:02:14.590,2018/05/04 07:40:13.887,5/4/2018,7:02:15 AM,7:40:14 AM
2018/05/05,2018/05/05 07:24:01.760,2018/05/05 07:46:00.313,5/5/2018,7:24:02 AM,7:46:00 AM
2018/05/06,2018/05/06 06:38:20.297,2018/05/06 06:58:57.740,5/6/2018,6:38:20 AM,6:58:58 AM
2018/05/07,2018/05/07 06:55:11.610,2018/05/07 07:56:34.620,5/7/2018,6:55:12 AM,7:56:35 AM
2018/05/08,2018/05/08 06:38:23.137,2018/05/08 07:30:12.847,5/8/2018,6:38:23 AM,7:30:13 AM
2018/05/09,2018/05/09 06:49:36.377,2018/05/09 07:42:45.223,5/9/2018,6:49:36 AM,7:42:45 AM
2018/05/10,2018/05/10 06:45:14.543,2018/05/10 07:37:34.850,5/10/2018,6:45:15 AM,7:37:35 AM
2018/05/11,2018/05/11 06:41:33.860,2018/05/11 07:16:03.977,5/11/2018,6:41:34 AM,7:16:04 AM
2018/05/12,2018/05/12 07:27:46.997,2018/05/12 08:00:35.777,5/12/2018,7:27:47 AM,8:00:36 AM
2018/05/13,2018/05/13 07:12:54.840,2018/05/13 07:48:51.210,5/13/2018,7:12:55 AM,7:48:51 AM
2018/05/14,2018/05/14 07:24:23.483,2018/05/14 08:10:45.423,5/14/2018,7:24:23 AM,8:10:45 AM
2018/05/15,2018/05/15 07:03:36.167,2018/05/15 08:09:40.193,5/15/2018,7:03:36 AM,8:09:40 AM
2018/05/16,2018/05/16 08:30:01.650,2018/05/16 09:17:32.797,5/16/2018,8:30:02 AM,9:17:33 AM
2018/05/17,2018/05/17 07:49:03.877,2018/05/17 08:38:38.830,5/17/2018,7:49:04 AM,8:38:39 AM
2018/05/18,2018/05/18 08:37:57.883,.,5/18/2018,8:37:58 AM,
,,,,,
